"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status","Fishing_est"
"663","Atrina","MT_20",2020,25138.65205113,11065.4610037548,89450.8250696355,416.382370645983,218.198005192839,933.497690283731,"MPA 2015",0.0174964128459514
"664","Atrina","MT_20",2021,26025.2265263265,10854.9330073507,98476.760994126,413.105183076065,210.506477564926,981.410092469139,"MPA 2015",0.0166724926597341
"665","Atrina","MT_20",2022,26750.0642660063,10651.709244376,104771.49291271,408.223620462573,203.192655015864,996.802000925262,"MPA 2015",0.0159572365044939
"666","Atrina","MT_20",2023,27333.9677368544,10455.4349570524,108783.995408299,402.143036828375,196.231463908818,984.726219668418,"MPA 2015",0.0153301256711219
"667","Atrina","MT_20",2024,27799.3232599836,10265.7781795188,111193.99949969,395.232744335686,189.600034746491,954.193859702612,"MPA 2015",0.0147748456742746
"668","Atrina","MT_20",2025,28167.668562231,10082.4277980922,112600.301027425,387.801868878126,183.277462553419,913.900144780075,"MPA 2015",0.0142784098603465
"669","Atrina","MT_20",2026,28458.2887821874,9905.09181768406,113419.850361914,380.092969870382,177.244597255981,870.044588256713,"MPA 2015",0.0138304663833742
"670","Atrina","MT_20",2027,28687.6181437776,9733.4958089952,113908.83228638,372.286561315666,171.483859915488,826.234730051757,"MPA 2015",0.0134227501567201
"671","Atrina","MT_20",2028,28869.1756474272,9567.38151457303,114214.348807963,364.510791469618,165.979081288704,784.240192028525,"MPA 2015",0.0130486494204313
"672","Atrina","MT_20",2029,29013.8013040075,9406.50559475571,114417.938606182,356.852455253176,160.715359710379,744.755754402298,"MPA 2015",0.0127028629207121
"673","Atrina","MT_20",2030,29130.0264429516,9250.63849704761,114564.066599734,349.367242908387,155.678935730462,707.922088826379,"MPA 2015",0.0123811287263912
"674","Atrina","MT_20",2031,29224.4748903192,9099.56343462396,114676.873922116,342.088334468408,150.857081308421,673.625487963595,"MPA 2015",0.0120800096834245
"675","Atrina","MT_20",2032,29302.2393178739,8953.07546151124,114769.524599007,335.033154611463,146.238001679853,641.65433859223,"MPA 2015",0.0117967236515784
"676","Atrina","MT_20",2033,29367.2080721408,8810.98063357907,114849.285690994,328.208448849892,141.810748275595,611.774873850334,"MPA 2015",0.0115290091516002
"677","Atrina","MT_20",2034,29422.3358799899,8673.09524584753,114920.253067365,321.613971755833,137.565141298695,583.764730561344,"MPA 2015",0.0112750190144328
"678","Atrina","MT_20",2035,29469.8611993199,8539.24513779459,114984.806159835,315.245093892087,133.491700756108,557.425572777353,"MPA 2015",0.0110332361756331
"679","Atrina","MT_40",2015,21533.7257580606,14418.3959675971,34947.0753487733,465.925358489405,303.959032402892,536.151649736474,"MPA 2015",0.0239613568489406
"680","Atrina","MT_40",2016,23538.8143747653,14125.9092276728,47007.9796373575,474.663293805831,292.486218950706,645.708418336702,"MPA 2015",0.0220734602805666
"681","Atrina","MT_40",2017,25401.4763642206,13844.2738897708,61323.3845648093,481.138788349728,281.63329902792,766.358065346827,"MPA 2015",0.020507390566155
"682","Atrina","MT_40",2018,27077.8832469074,13572.9149945691,76992.8697098094,484.895094101919,271.353948092314,890.84360248577,"MPA 2015",0.0191981369255099
"683","Atrina","MT_40",2019,28542.7304814813,13311.299038331,92498.0057676966,485.825018065788,261.606387976881,1005.84067952595,"MPA 2015",0.0180942578143259
"684","Atrina","MT_40",2020,29789.2116544061,13058.9300260751,106149.846150069,484.106056061912,252.35284818338,1096.6527436595,"MPA 2015",0.0171550302841938
"685","Atrina","MT_40",2021,30825.9201040888,12815.3459826726,116786.776778957,480.105588833963,243.559099426045,1152.12226858761,"MPA 2015",0.016348198844303
"686","Atrina","MT_40",2022,31672.1010106467,12580.1158614623,124190.283769759,474.282044835696,235.194048819867,1169.49363354084,"MPA 2015",0.015648197758283
"687","Atrina","MT_40",2023,32352.7313461769,12352.8367987103,128901.790789573,467.103535428457,227.229387783983,1154.82732952532,"MPA 2015",0.0150347472332176
"688","Atrina","MT_40",2024,32894.4437240474,12133.13166962,131728.08114381,458.99410518674,219.639285124427,1118.7308179489,"MPA 2015",0.014491744881606
"689","Atrina","MT_40",2025,33322.7102843215,11920.6469078387,133375.775230746,450.306974393636,212.400118922063,1071.36417603933,"MPA 2015",0.0140063903519839
"690","Atrina","MT_40",2026,33660.2429358784,11715.0505556973,134335.343063654,441.318083963711,205.490241821971,1019.93545753523,"MPA 2015",0.0135684940689967
"691","Atrina","MT_40",2027,33926.3343066318,11516.0305169183,134907.567573014,432.231913689965,198.889775133251,968.621788975446,"MPA 2015",0.0131699313338399
"692","Atrina","MT_40",2028,34136.8150361035,11323.2929873535,135264.9535713,423.192973475088,192.580427830253,919.46281540099,"MPA 2015",0.0128042111856609
"693","Atrina","MT_40",2029,34304.353146091,11136.5610425845,135503.045932587,414.298631251995,186.545337120021,873.252760093819,"MPA 2015",0.0124661358649193
"694","Atrina","MT_40",2030,34438.9021676413,10955.573364009,135673.91881395,405.610937795863,180.768927724376,830.145941805893,"MPA 2015",0.0121515318072007
"695","Atrina","MT_40",2031,34548.179422457,10780.0830874343,135805.832432447,397.166481127329,175.236787433702,790.004179849015,"MPA 2015",0.0118570371131305
"696","Atrina","MT_40",2032,34638.1112563934,10609.8567602528,135914.191018433,388.984095159157,169.935556835418,752.577676295851,"MPA 2015",0.0115799336111055
"697","Atrina","MT_40",2033,34713.2178349589,10444.6733950453,136007.494973964,381.070629982305,164.852831413534,717.592323888005,"MPA 2015",0.0113180141323493
"698","Atrina","MT_40",2034,34776.9308057469,10284.3236089786,136090.533141588,373.425129663923,159.97707446519,684.788204134975,"MPA 2015",0.0110694775930522
"699","Atrina","MT_40",2035,34831.8477289481,10128.608839684,136166.085984363,366.04177521625,155.297539492434,653.933923679678,"MPA 2015",0.0108328460373125
"700","Atrina","MT_60",2015,23967.1169476077,16145.1587359271,38933.8917552616,532.736699313502,349.245084072893,609.927339081643,"MPA 2015",0.0246203660393372
"701","Atrina","MT_60",2016,26206.454404205,15809.2855176513,52362.2279188006,542.99254303642,335.872621633948,734.400573832439,"MPA 2015",0.0226879783561744
