,Name,Adjusted,year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er
52,Callinectes,MT,2007,2215.014,1996.272133,2927.737487,1854.536295,3803.150984,0.915539187,0.579936097,1.189291655,0.457769594,0.289968049,0.594645827,0.756561683,0.582415479,1.194376193,0.595623108,0.478716277,0.741079642,1.270202033,0.977825525,2.005254962,1.270202033
53,Callinectes,MT,2008,1647.474,1892.934133,2760.436521,1850.793019,3578.022262,0.863222137,0.57876553,1.11889116,0.431611068,0.289382765,0.55944558,0.596816477,0.460442636,0.890144918,0.595623108,0.478716277,0.741079642,1.002003564,0.773043606,1.494476801,1.002003564
54,Callinectes,MT,2009,2326.338,2062.942,2664.008012,1856.490154,3378.744204,0.833067767,0.580547093,1.056574483,0.416533884,0.290273546,0.528287242,0.873247374,0.688521492,1.253083942,0.595623108,0.478716277,0.741079642,1.466107277,1.155968401,2.103820225,1.466107277
55,Callinectes,MT,2010,1866.6284,1946.813467,2342.338579,1739.959375,2872.972499,0.732477816,0.544106498,0.898413508,0.366238908,0.272053249,0.449206754,0.79690802,0.649720246,1.07279999,0.595623108,0.478716277,0.741079642,1.337940065,1.090824445,1.801138967,1.337940065
56,Callinectes,MT,2011,1669.554,1954.173467,2068.567721,1590.795679,2504.283847,0.646866332,0.497461193,0.783120074,0.323433166,0.248730597,0.391560037,0.807106281,0.666679219,1.04950876,0.595623108,0.478716277,0.741079642,1.355062068,1.119297102,1.762034993,1.355062068
57,Callinectes,MT,2012,1029.714,1521.965467,1710.574609,1389.4407,2188.226874,0.534917524,0.434495038,0.684285208,0.267458762,0.217247519,0.342142604,0.601969651,0.470570036,0.741099638,0.595623108,0.478716277,0.741079642,1.010655299,0.790046642,1.244242588,1.010655299
58,Callinectes,MT,2013,1436.844,1378.704,1620.696942,1202.873447,2072.321964,0.506811682,0.376153184,0.64804033,0.253405841,0.188076592,0.324020165,0.886559333,0.693349791,1.1945097,0.595623108,0.478716277,0.741079642,1.488456913,1.164074699,2.005479107,1.488456913
59,Callinectes,MT,2014,984.56694,1150.37498,1610.513924,818.792258,2181.917049,0.503627328,0.256046316,0.682312048,0.251813664,0.128023158,0.341156024,0.611337118,0.4512394,1.202462444,0.595623108,0.478716277,0.741079642,1.026382471,0.757592165,2.018831082,1.026382471
60,Callinectes,MT,2015,796.56,1072.65698,1814.644371,167.0461464,2518.925784,0.567461407,0.052237365,0.787698786,0.283730703,0.026118683,0.393849393,0.438962043,0.316230039,4.7685027,0.595623108,0.478716277,0.741079642,0.736979537,0.530923054,8.00590614,0.736979537
61,Callinectes,MT_20,2005,2348.9856,2348.9856,3835.714469,2417.962771,4567.510873,1.015214778,0.639972438,1.208902429,0.507607389,0.319986219,0.604451215,0.612398451,0.514281337,0.971473022,0.597114029,0.481055717,0.741172283,1.025597158,0.861278269,1.626947241,1.025597158
62,Callinectes,MT_20,2006,2179.57728,2264.28144,3615.471576,2367.360057,4601.098149,0.95692216,0.626579203,1.217792116,0.47846108,0.313289602,0.608896058,0.602847301,0.47370806,0.920678404,0.597114029,0.481055717,0.741172283,1.009601636,0.79332931,1.541880378,1.009601636
63,Callinectes,MT_20,2007,2658.0168,2395.52656,3503.721101,2364.871543,4561.491243,0.927344689,0.625920558,1.207309188,0.463672344,0.312960279,0.603654594,0.758626821,0.58270786,1.123958216,0.597114029,0.481055717,0.741172283,1.270489026,0.975873672,1.88231755,1.270489026
64,Callinectes,MT_20,2008,1976.9688,2271.52096,3308.898056,2280.153596,4231.896016,0.875780049,0.6034979,1.120073825,0.437890025,0.30174895,0.560036912,0.597470447,0.467159116,0.86703317,0.597114029,0.481055717,0.741172283,1.000596901,0.782361648,1.452039523,1.000596901
65,Callinectes,MT_20,2009,2791.6056,2475.5304,3174.852444,2262.665287,4031.251698,0.84030163,0.598869195,1.066968444,0.420150815,0.299434598,0.533484222,0.879286723,0.69249102,1.233768696,0.597114029,0.481055717,0.741172283,1.472560817,1.159729945,2.066219576,1.472560817
66,Callinectes,MT_20,2010,2239.95408,2336.17616,2790.699768,2109.472577,3548.207594,0.738626316,0.558323033,0.939119117,0.369313158,0.279161516,0.469559559,0.80264961,0.631291722,1.061855036,0.597114029,0.481055717,0.741172283,1.344214959,1.057238134,1.778311989,1.344214959
67,Callinectes,MT_20,2011,2003.4648,2345.00816,2481.769022,1947.284855,2965.942519,0.656860308,0.515396122,0.785008556,0.328430154,0.257698061,0.392504278,0.80727287,0.675490097,1.028850399,0.597114029,0.481055717,0.741172283,1.351957634,1.131258125,1.723038396,1.351957634
68,Callinectes,MT_20,2012,1235.6568,1826.35856,2048.915572,1659.161107,2572.724233,0.542295154,0.439137191,0.680933809,0.271147577,0.219568595,0.340466904,0.603078437,0.480291196,0.74474793,0.597114029,0.481055717,0.741172283,1.009988725,0.804354232,1.247245742,1.009988725
69,Callinectes,MT_20,2013,1724.2128,1654.4448,1950.625623,1394.885011,2571.473479,0.516280337,0.369190118,0.680602766,0.258140169,0.184595059,0.340301383,0.883928099,0.67051549,1.236096729,0.597114029,0.481055717,0.741172283,1.480333833,1.122927042,2.070118385,1.480333833
70,Callinectes,MT_20,2014,1181.480328,1380.449976,1925.431803,984.5814133,2579.738861,0.509612182,0.260593329,0.6827904,0.254806091,0.130296664,0.3413952,0.613618372,0.457984467,1.19998236,0.597114029,0.481055717,0.741172283,1.027640186,0.766996662,2.009636857,1.027640186
71,Callinectes,MT_20,2015,955.872,1287.188376,2137.038218,220.1352203,2982.849045,0.565618948,0.05826412,0.789483278,0.282809474,0.02913206,0.394741639,0.44728821,0.320456042,4.342203846,0.597114029,0.481055717,0.741172283,0.749083406,0.536674784,7.271984303,0.749083406
72,Callinectes,MT_40,2005,2740.4832,2740.4832,4375.627122,2545.643725,5473.518711,0.966902294,0.562522511,1.209508409,0.483451147,0.281261256,0.604754204,0.626306384,0.500680338,1.076538391,0.595623108,0.478716277,0.741079642,1.051514582,0.84059925,1.807415421,1.051514582
73,Callinectes,MT_40,2006,2542.84016,2641.66168,4264.936542,2528.452644,5434.78735,0.942442491,0.55872372,1.200949763,0.471221246,0.27936186,0.600474882,0.596219928,0.467882181,1.005690245,0.595623108,0.478716277,0.741079642,1.00100201,0.785533964,1.688467474,1.00100201
74,Callinectes,MT_40,2007,3101.0196,2794.780987,4151.904829,2625.652657,5319.730169,0.917465358,0.58020245,1.175525053,0.458732679,0.290101225,0.587762526,0.74689082,0.582927987,1.181047155,0.595623108,0.478716277,0.741079642,1.253965484,0.978685983,1.982876652,1.253965484
75,Callinectes,MT_40,2008,2306.4636,2650.107787,3863.243374,2538.644918,5091.653001,0.853678519,0.560975953,1.1251258,0.426839259,0.280487977,0.5625629,0.597027776,0.452989157,0.908541239,0.595623108,0.478716277,0.741079642,1.002358316,0.760529856,1.525362644,1.002358316
76,Callinectes,MT_40,2009,3256.8732,2888.1188,3704.534244,2479.080296,4821.25963,0.818607838,0.547813687,1.065375743,0.409303919,0.273906843,0.532687871,0.879158616,0.675523297,1.313742522,0.595623108,0.478716277,0.741079642,1.476031745,1.134145548,2.205660767,1.476031745
77,Callinectes,MT_40,2010,2613.27976,2725.538853,3307.288967,2373.854182,4192.480799,0.730826736,0.524561392,0.926431615,0.365413368,0.262280696,0.463215808,0.790157675,0.623325397,1.100859429,0.595623108,0.478716277,0.741079642,1.326606815,1.046509762,1.848248353,1.326606815
78,Callinectes,MT_40,2011,2337.3756,2735.842853,2969.829883,2223.764168,3530.231193,0.656256862,0.491395317,0.780091297,0.328128431,0.245697658,0.390045649,0.787040232,0.662102699,1.051089694,0.595623108,0.478716277,0.741079642,1.321372897,1.111613518,1.764689247,1.321372897
79,Callinectes,MT_40,2012,1441.5996,2130.751653,2417.052936,1930.103671,3071.59767,0.534107218,0.426503817,0.678744955,0.267053609,0.213251908,0.339372477,0.596428642,0.46933217,0.746902677,0.595623108,0.478716277,0.741079642,1.001352422,0.78796837,1.253985393,1.001352422
80,Callinectes,MT_40,2013,2011.5816,1930.1856,2287.699499,1650.328116,3015.841944,0.505523399,0.364680535,0.666424357,0.252761699,0.182340268,0.333212179,0.879303248,0.667004982,1.218897976,0.595623108,0.478716277,0.741079642,1.47627457,1.119844029,2.046424927,1.47627457
81,Callinectes,MT_40,2014,1378.393716,1610.524972,2288.321143,1174.712266,3187.632917,0.505660766,0.25958153,0.704385793,0.252830383,0.129790765,0.352192896,0.602360259,0.432419213,1.173388374,0.595623108,0.478716277,0.741079642,1.011311097,0.725994688,1.970018217,1.011311097
82,Callinectes,MT_40,2015,1115.184,1501.719772,2612.351454,189.7123767,3573.953881,0.577263223,0.04192161,0.789752899,0.288631611,0.020960805,0.39487645,0.426888962,0.312030887,5.878288067,0.595623108,0.478716277,0.741079642,0.716709872,0.523873038,9.869140376,0.716709872
83,Callinectes,MT_60,2005,3131.9808,3131.9808,5276.609752,2903.126223,6217.435928,1.02995325,0.566667695,1.213595213,0.514976625,0.283333848,0.606797607,0.593559302,0.503741548,1.078830392,0.595623108,0.478716277,0.741079642,0.996535046,0.845738759,1.811263493,0.996535046
84,Callinectes,MT_60,2006,2906.10304,3019.04192,4941.052378,3024.108243,6293.247857,0.964455056,0.590282446,1.228393113,0.482227528,0.295141223,0.614196557,0.588154672,0.461781119,0.960978512,0.595623108,0.478716277,0.741079642,0.987461137,0.775290805,1.613400318,0.987461137
85,Callinectes,MT_60,2007,3544.0224,3194.035413,4794.423929,3068.1314,6154.274658,0.935834321,0.598875425,1.201266624,0.467917161,0.299437712,0.600633312,0.739196711,0.575863542,1.155107764,0.595623108,0.478716277,0.741079642,1.241047738,0.966825386,1.939326644,1.241047738
86,Callinectes,MT_60,2008,2635.9584,3028.694613,4485.581853,2952.706314,5591.355343,0.875550746,0.576345344,1.091389145,0.437775373,0.288172672,0.545694572,0.587651388,0.471434605,0.892726238,0.595623108,0.478716277,0.741079642,0.986616166,0.791498179,1.498810617,0.986616166
