"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status","Fishing_est"
"4742","Scomberomorus","MT_60",2017,12097.8179520448,1394.47620127322,0,4430.0416463758,209.888714201524,0,"No MPA",0.382381068739244
"4743","Scomberomorus","MT_60",2018,12461.3899172506,1683.13090209591,0,4723.14546360113,245.072780626533,0,"No MPA",0.39041300524801
"4744","Scomberomorus","MT_60",2019,12670.0348746749,2031.51209025131,0,4976.61738544348,287.20711279678,0,"No MPA",0.399362945746062
"4745","Scomberomorus","MT_60",2020,12728.9071010248,2448.52850147665,0,5181.51104869733,337.571460832215,0,"No MPA",0.408957915266218
"4746","Scomberomorus","MT_60",2021,12652.3818107608,2942.30064171778,0,5332.27289903202,397.596536811619,0,"No MPA",0.418910504783455
"4747","Scomberomorus","MT_60",2022,12461.0787675731,3518.82149232099,0,5427.06306543551,468.825237836527,0,"No MPA",0.428936080700617
"4748","Scomberomorus","MT_60",2023,12178.7301530271,4180.16754649194,0,5467.52797665415,552.833814532809,0,"No MPA",0.438768430778404
"4749","Scomberomorus","MT_60",2024,11829.4845676027,4922.39949426756,0,5458.16821615059,651.097712037133,0,"No MPA",0.448172194273794
"4750","Scomberomorus","MT_60",2025,11435.9402870819,5733.51652394354,0,5405.49774385123,764.78959872108,0,"No MPA",0.45695124863303
"4751","Scomberomorus","MT_60",2026,11017.9453096857,6592.08161863472,0,5317.17450509978,894.508560428073,0,"No MPA",0.464952979083501
"4752","Scomberomorus","MT_60",2027,10592.0475531406,7467.28831194057,0,5201.22933048511,1039.96342555751,0,"No MPA",0.472068900715343
"4753","Scomberomorus","MT_60",2028,10171.4197166233,8321.10551754842,0,5065.46038271622,1199.66876451791,0,"No MPA",0.478232405708403
"4754","Scomberomorus","MT_60",2029,9766.08662446283,9112.58686890344,0,4917.01185373587,1370.74747979857,0,"No MPA",0.483414507583434
"4755","Scomberomorus","MT_60",2030,9383.31535389899,9803.57025692636,0,4762.12363103336,1548.94454130244,0,"No MPA",0.487618409927354
"4756","Scomberomorus","MT_60",2031,9028.06802980004,10364.2402461537,0,4606.02177133934,1728.91661210859,0,"No MPA",0.490873598256018
"4757","Scomberomorus","MT_60",2032,8703.45265189917,10776.898529767,0,4452.91389072127,1904.77078517245,0,"No MPA",0.493229988522793
"4758","Scomberomorus","MT_60",2033,8411.13478517381,11036.9699250298,0,4306.05494393375,2070.72369984206,0,"No MPA",0.494752498365592
"4759","Scomberomorus","MT_60",2034,8151.69225652077,11151.3808808114,0,4167.85403958205,2221.70368974007,0,"No MPA",0.495516258630009
"4760","Scomberomorus","MT_60",2035,7924.9075417853,11135.3191120868,0,4039.99957887088,2353.75642514531,0,"No MPA",0.495602563460264
"4761","Sphoeroides","MT",2015,31.5107150067699,7.34043270044269,55.4564820956357,2.44847121191374,0.320046165039072,18.7073296226343,"No MPA",0.109911016176283
"4762","Sphoeroides","MT",2016,44.3329873544189,9.69167834466668,72.8036437727556,3.32984666516908,0.405434138854375,23.5240642573664,"No MPA",0.105673472165062
"4763","Sphoeroides","MT",2017,61.8173454269999,12.7748381045789,95.611943658228,4.51240328835233,0.513491932355103,29.7509976092125,"No MPA",0.101784327148497
"4764","Sphoeroides","MT",2018,85.0297610431008,16.7915675089898,125.027510208173,6.07549074891042,0.649726713623307,37.7160363684482,"No MPA",0.0982813271411818
"4765","Sphoeroides","MT",2019,114.692026593281,21.9773589706044,161.886376384129,8.0957181409008,0.820547815625464,47.7324301626915,"No MPA",0.0952104068221143
"4766","Sphoeroides","MT",2020,150.642267146397,28.5903455201816,206.224225345818,10.6228997397693,1.03308736642377,60.0098249578593,"No MPA",0.0926210832200223
"4767","Sphoeroides","MT",2021,191.236955390551,36.8853502370244,256.695349214374,13.6416906776371,1.29473629152486,74.5153813754732,"No MPA",0.0905568598777116
"4768","Sphoeroides","MT",2022,233.119579798551,47.0673592315947,310.210168735983,17.0278572932611,1.61224855119468,90.8101416483415,"No MPA",0.0890406211419032
"4769","Sphoeroides","MT",2023,271.900600403114,59.2220838142435,362.261835566737,20.5282779932208,1.99027630485094,107.94555266878,"No MPA",0.0880590039281993
"4770","Sphoeroides","MT",2024,303.767128832286,73.231269160004,408.175939496775,23.8061301939091,2.42930797618195,124.555142065984,"No MPA",0.0875545333795317
"4771","Sphoeroides","MT",2025,327.009036990795,88.6977437085389,444.757987321961,26.559556567169,2.92326515842623,139.218402748946,"No MPA",0.087433938850681
"4772","Sphoeroides","MT",2026,342.245092973863,104.923315275193,471.230001223842,28.6430487261685,3.45749567633552,150.95537197351,"No MPA",0.087591000511019
"4773","Sphoeroides","MT",2027,351.397289969173,120.983724322019,488.863893530471,30.0938087024492,4.00840350839043,159.521307695254,"No MPA",0.0879305775897492
"4774","Sphoeroides","MT",2028,356.517420568758,135.909182360833,499.855916441114,31.0569710399521,4.54598569663755,165.306465729323,"No MPA",0.0883813618559114
"4775","Sphoeroides","MT",2029,359.191004646636,148.912614844698,506.353353852395,31.6930616906557,5.03951047574158,168.993778032488,"No MPA",0.0888962498384941
"4776","Sphoeroides","MT",2030,360.457188006221,159.560610086911,510.013218160258,32.1284111646476,5.46458706795411,171.255486940538,"No MPA",0.0894465917827056
"4777","Sphoeroides","MT",2031,360.938196107381,167.808513168601,511.959189776205,32.4468443143246,5.80840679025543,172.612726040611,"No MPA",0.0900158060206712
"4778","Sphoeroides","MT",2032,360.988627227328,173.907032364475,512.89868995127,32.699035268612,6.07069768049407,173.420089536896,"No MPA",0.0905945550270438
"4779","Sphoeroides","MT",2033,360.805262157719,178.255098260694,513.25837081844,32.914094319038,6.26060965679204,173.90142693177,"No MPA",0.0911776489244099
"4780","Sphoeroides","MT",2034,360.495798256175,181.273469878827,513.289285616524,33.1082892518841,6.39190759722097,174.192084119389,"No MPA",0.0917622128177595
"4781","Sphoeroides","MT",2035,360.118775428203,183.330982046472,513.137083658893,33.2905781709698,6.47886763664268,174.371914906641,"No MPA",0.0923466468458334
"4782","Sphoeroides","MT_20",2015,39.1046794456618,8.78257243216829,64.2189860066307,2.93884873895808,0.394300919086883,21.8671933785924,"No MPA",0.105940330762962
"4783","Sphoeroides","MT_20",2016,54.816167261595,11.5510960544981,83.4983677716048,3.98428418098259,0.49753813661885,27.2135027232425,"No MPA",0.101887657371517
"4784","Sphoeroides","MT_20",2017,76.1396115170655,15.1695932372654,108.715850520531,5.381765795866,0.62775433155741,34.0844532188478,"No MPA",0.0981784401339666
"4785","Sphoeroides","MT_20",2018,104.307196827236,19.8698611691772,141.139697077483,7.22189346115549,0.791426316466005,42.8316532729689,"No MPA",0.0948506738773787
"4786","Sphoeroides","MT_20",2019,140.11410700161,25.9228727599898,181.773466853058,9.59106535327996,0.996096350654533,53.8006692161019,"No MPA",0.0919501783675157
"4787","Sphoeroides","MT_20",2020,183.286860338149,33.6269533117108,230.877197820355,12.5438441888937,1.25018448480465,67.2475318394149,"No MPA",0.0895259189622469
