"","Name","Adjusted","Year","Leave_est","Arrive_est","Surplus_est","Catch_est","Biomass_est","Profit_est","Fishing_est","PV_est","Revenue_est","Leave_lo","Arrive_lo","Surplus_lo","Catch_lo","Biomass_lo","Profit_lo","Fishing_lo","PV_lo","Revenue_lo","Leave_hi","Arrive_hi","Surplus_hi","Catch_hi","Biomass_hi","Profit_hi","Fishing_hi","PV_hi","Revenue_hi","Status"
"3529","Dasyatis","MT",2015,141.04107734036,141.04107734036,114.162947516977,104.012016473301,546.749704243675,124002.124876898,0.193835732894108,124002.124876898,124002.124876898,10.5367577494727,10.5367577494727,6.23945170004251,4.65067311129526,41.6764706887473,5786.346271952,0.116012493303281,5786.346271952,2015,225.804036858038,225.804036858038,355.117381757802,2254.05512840287,0,2657381.05292794,2.62378819017063,2657381.05292794,2657381.05292794,"No MPA"
"3530","Dasyatis","MT",2016,143.709175595355,143.709175595355,115.603892753445,111.215824771817,551.137772225303,132474.537039637,0.203412683918437,126166.225752035,132474.537039637,10.9543566240953,10.9543566240953,6.47384599803537,4.85844200699682,43.2918746797858,6043.73909585337,0.116575178432962,5755.94199605082,2016,0,0,0,0,0,0,2.62378819017063,0,0,"No MPA"
"3531","Dasyatis","MT",2017,144.862547288475,144.862547288475,116.218526415994,117.69187143611,549.664427205187,140135.516821471,0.213543468379806,127107.044736028,140135.516821471,11.3789537916909,11.3789537916909,6.71116065272306,5.07218463459398,44.9308506979149,6308.44751936683,0.117162508487126,5721.94786337127,2017,0,0,0,0,0,0,2.62378819017063,0,0,"No MPA"
"3532","Dasyatis","MT",2018,144.475289286202,144.475289286202,116.012712091536,123.207488117688,542.469651179034,146721.560287993,0.224150376156134,126743.600291971,146721.560287993,11.8097466948379,11.8097466948379,6.95089976936863,5.29173746663342,46.5900130006501,6580.26397028529,0.117775145238436,5684.27942579444,2018,0,0,0,0,0,0,2.62378819017063,0,0,"No MPA"
"3533","Dasyatis","MT",2019,142.584194836061,142.584194836061,114.999584431409,127.555448492089,529.913787118354,151993.470456334,0.235138404913256,125045.404296633,151993.470456334,12.2458454157961,12.2458454157961,7.19252624311321,5.51689706070426,48.265642183059,6858.93193476526,0.118413726577567,5642.86027716045,2019,0,0,0,0,0,0,2.62378819017063,0,0,"No MPA"
"3534","Dasyatis","MT",2020,139.283977462293,139.283977462293,113.199425904178,130.569846837157,512.543366185375,155753.853305691,0.246398282156781,122037.219593299,155753.853305691,12.6862723360825,12.6862723360825,7.43546291842352,5.74741773035462,49.9536873711279,7144.14319569428,0.119078861699512,5597.62313082406,2020,0,0,0,0,0,0,2.62378819017063,0,0,"No MPA"
"3535","Dasyatis","MT",2021,134.718288898316,134.718288898316,110.641679827009,132.13910337367,491.045942638713,157862.256198663,0.257810581682329,117799.246123238,157862.256198663,13.1299627129811,13.1299627129811,7.67909424573095,5.98300938693575,51.6497722299231,7435.53528730901,0.119771126052925,5548.51091362493,2021,0,0,0,0,0,0,2.62378819017063,0,0,"No MPA"
"3536","Dasyatis","MT",2022,129.067847770802,129.067847770802,107.368044192076,132.214427810517,466.199559020273,158246.050130543,0.269250626733705,112462.513394612,158246.050130543,13.5757662587451,13.5757662587451,7.92276844914473,6.22333560217819,53.3492050768897,7732.68922544371,0.120491056078128,5495.47786422119,2022,0,0,0,0,0,0,2.62378819017063,0,0,"No MPA"
"3537","Dasyatis","MT",2023,122.537156892292,122.537156892292,103.435318289831,130.812692239037,438.822185071066,156905.654311482,0.280593770860578,106199.922962877,156905.654311482,14.0224497988031,14.0224497988031,8.16580021050463,6.46801194408064,55.0469933433137,8035.12757580381,0.121239143765284,5438.49062222616,2023,0,0,0,0,0,0,2.62378819017063,0,0,"No MPA"
"3538","Dasyatis","MT",2024,115.341213648667,115.341213648667,98.916838984928,128.013471695611,409.725552360384,153913.464557961,0.291720601306607,99213.9915800336,153913.464557961,14.4687010728495,14.4687010728495,8.40747386557656,6.71660464069948,56.7378625681907,8342.31292474578,0.122015831070187,5377.5292931701,2024,0,0,0,0,0,0,2.62378819017063,0,0,"No MPA"
