,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,Year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er,m.rate
44,Panulirus,MT_40,0.282239296,0.163449697,0.487361077,551.3782875,186.4820467,1630.280347,38.90515494,13.55787968,111.6406928,275.6891437,93.24102336,815.1401737,2015,20.188,23.25334667,206.3559324,115.1516994,314.7985877,0.748509461,0.417686739,1.14186066,0.37425473,0.208843369,0.57093033,0.097830965,0.064129894,0.175316562,0.141119648,0.081724848,0.243680538,0.693248363,0.454436322,1.242325672,0.693248363,0.062245553
45,Panulirus,MT_60,0.282239296,0.163449697,0.487361077,614.0478231,207.0978458,1820.659832,43.32710635,15.01636816,125.0127943,307.0239115,103.5489229,910.3299159,2015,23.072,26.57525333,227.8153023,129.7116701,346.5412149,0.742011595,0.422480677,1.128710833,0.371005797,0.211240339,0.564355416,0.101275023,0.066577939,0.177871428,0.141119648,0.081724848,0.243680538,0.717653597,0.471783627,1.260429929,0.717653597,0.062245553
46,Scomberomorus,MT,0.565525439,0.407485471,0.784859938,29056.19433,14296.49086,59053.82219,4108.004262,1944.997859,8676.461483,14528.09717,7148.245429,29526.91109,2015,2331.932,1913.477333,6346.022352,464.5555675,11675.89791,0.427541702,0.031297854,0.786623965,0.213770851,0.015648927,0.393311983,0.367463565,0.199721856,5.019705204,0.241785709,0.174217032,0.335560354,1.519790262,0.826028375,20.76096736,1.299547431,1
47,Scomberomorus,MT_20,0.565525439,0.407485471,0.784859938,35905.86113,17517.22115,73597.9099,5076.419467,2363.805126,10901.92855,17952.93057,8758.610573,36798.95495,2015,2798.3184,2296.1728,8070.636167,586.0737711,14427.75572,0.440301538,0.031973834,0.787120482,0.220150769,0.015986917,0.393560241,0.346728355,0.193953824,4.774686291,0.24900172,0.17941648,0.345575037,1.392473733,0.778925641,19.17531448,1.226216651,1
48,Scomberomorus,MT_40,0.565525439,0.407485471,0.784859938,42808.3362,20788.07258,88154.09131,6052.300777,2792.719074,13116.37287,21404.1681,10394.03629,44077.04566,2015,3264.7048,2678.868267,9546.282977,691.0359214,16627.34028,0.451880455,0.032710703,0.787067606,0.225940227,0.016355351,0.393533803,0.341987013,0.196345582,4.724363378,0.255549892,0.18413472,0.354662866,1.338239706,0.768325824,18.48704898,1.209448734,1
49,Scomberomorus,MT_60,0.565525439,0.407485471,0.784859938,47164.17941,22966.70827,96855.83989,6668.135813,3093.601378,14372.90387,23582.08971,11483.35414,48427.91995,2015,3731.0912,3061.563733,10194.67004,802.3328033,18485.67396,0.435699607,0.034290084,0.790040369,0.217849803,0.017145042,0.395020184,0.365984498,0.201836904,4.650303695,0.246399211,0.17754126,0.341963166,1.485331453,0.819145901,18.87304619,1.29431666,1
50,Sphoeroides,MT,0.552943197,0.389409029,0.785154316,431.7924462,206.210468,904.1476819,59.68917395,26.28615028,135.5389606,215.8962231,103.105234,452.0738409,2015,2.55,27.12133333,22.27684992,5.555426899,42.42011603,0.103183139,0.025731932,0.196483826,0.051591569,0.012865966,0.098241913,0.114468608,0.06011299,0.45901063,0.057054415,0.040180446,0.081014687,2.006305888,1.053608037,8.045137841,0.414033877,0.047315725
51,Sphoeroides,MT_20,0.544710946,0.385437973,0.769799644,518.9856001,249.6760105,1078.782269,70.67428425,31.28194898,159.672099,259.4928,124.8380053,539.3911343,2015,3.06,32.5456,27.74060377,6.673430385,49.63510504,0.106903173,0.025717208,0.191277388,0.053451587,0.012858604,0.095638694,0.110307621,0.061649915,0.45853479,0.058231329,0.041204542,0.082294025,1.894300257,1.058706994,7.874365928,0.405013417,0.047315725
52,Sphoeroides,MT_40,0.552943197,0.393322655,0.7773419,600.7686059,287.6970614,1254.524172,83.04772845,36.77024571,187.5681021,300.3843029,143.8485307,627.2620862,2015,3.57,37.96986667,30.69589324,7.341383017,58.58498246,0.102188739,0.024439969,0.195033435,0.05109437,0.012219984,0.097516718,0.116302203,0.060937118,0.486284395,0.056504568,0.040193146,0.079435589,2.058279646,1.078445868,8.606107611,0.420666004,0.047315725
53,Sphoeroides,MT_60,0.557105862,0.395343607,0.785056178,681.8319067,323.1668433,1438.559551,94.96313799,41.39683898,217.8426614,340.9159533,161.5834217,719.2797754,2015,4.08,43.39413333,34.6521184,7.464313437,65.62000277,0.101644168,0.021894879,0.192481467,0.050822084,0.010947439,0.096240733,0.117741719,0.062176163,0.546600841,0.056626562,0.040184372,0.079796382,2.079266615,1.098003503,9.652728751,0.42269065,0.047315725
54,Squatina,MT,0.062038507,0.039696193,0.096955807,4186.823809,1384.761102,12658.8576,64.93607494,17.81374542,236.7101207,2093.411905,692.3805512,6329.428801,2015,14.0771,25.07017333,491.9625009,58.96961695,825.7900322,0.235005113,0.028169142,0.394470878,0.117502556,0.014084571,0.197235439,0.028614173,0.017046827,0.238717847,0.014579366,0.009328808,0.02278511,1.962648577,1.169243349,16.37367771,0.922464901,0.806838978
55,Squatina,MT_20,0.062038507,0.039696193,0.096955807,4983.476088,1657.681599,14981.78778,77.2918545,21.4417845,278.6163051,2491.738044,828.8407995,7490.893888,2015,16.89252,30.084208,582.3636215,68.84753406,983.0336359,0.233717835,0.027630326,0.394517248,0.116858918,0.013815163,0.197258624,0.029006826,0.017184071,0.245361293,0.014499506,0.009277708,0.022660301,2.000538936,1.185148765,16.92204544,0.935123259,0.806838978
56,Squatina,MT_40,0.062038507,0.039696193,0.096955807,5852.240233,1955.284934,17515.9718,90.76606222,25.39874558,324.365549,2926.120117,977.6424668,8757.985898,2015,19.70794,35.09824267,685.3437236,81.83292851,1156.026782,0.234215855,0.02796636,0.39507154,0.117107927,0.01398318,0.19753577,0.028756286,0.017047996,0.240831415,0.014530402,0.009297478,0.022708587,1.979042684,1.173263893,16.57431192,0.927046347,0.806838978
57,Squatina,MT_60,0.062038507,0.039696193,0.096955807,6667.075052,2202.734121,20179.41672,103.4038462,28.30724258,377.7250778,3333.537526,1101.36706,10089.70836,2015,22.52336,40.11227733,781.8615793,93.81459109,1316.939085,0.234544106,0.028142653,0.395057525,0.117272053,0.014071327,0.197528763,0.02880735,0.017102811,0.240083762,0.014550766,0.009310508,0.022740413,1.979782321,1.175389014,16.49973329,0.928692549,0.806838978
