"","Name","Adjusted","Year","Biomass_est","Biomass_lo","Biomass_hi","Catch_est","Catch_lo","Catch_hi","Status"
"1528","Scomberomorus","MT",2027,9919.84908888236,5536.20860130052,6373.6625842328,3416.60061827111,1303.27763349958,3075.97414409695,"MPA"
"1529","Scomberomorus","MT",2028,9889.67909796657,5525.5310046077,6186.34086486696,3401.97353069601,1299.66318526565,2906.08927733776,"MPA"
"1530","Scomberomorus","MT",2029,9864.72954913221,5516.14108664566,6019.04185645468,3389.91533551065,1296.55510375641,2755.36285962879,"MPA"
"1531","Scomberomorus","MT",2030,9844.08914924758,5507.93292963344,5868.74998857816,3379.96242325759,1293.88182126777,2620.75164617589,"MPA"
"1532","Scomberomorus","MT",2031,9827.00545167367,5500.78926482177,5733.02638910174,3371.73852150675,1291.58251786953,2499.82564206059,"MPA"
"1533","Scomberomorus","MT",2032,9812.85852967722,5494.59217124812,5609.87775593638,3364.93715527431,1289.60511326036,2390.6210832748,"MPA"
"1534","Scomberomorus","MT",2033,9801.13794351991,5489.22916447536,5497.6591354694,3359.307961632,1287.90483023339,2291.53365472094,"MPA"
"1535","Scomberomorus","MT",2034,9791.4233003081,5484.59634401031,5395.00097609072,3354.64590127989,1286.4430969715,2201.2397224569,"MPA"
"1536","Scomberomorus","MT",2035,9783.36813822842,5480.5997254417,5300.7537352841,3350.78269000886,1285.18666380449,2118.6374045826,"MPA"
"1537","Scomberomorus","MT_20",2016,13787.4677782771,7098.89194144846,15367.3453627419,5064.02706826875,1718.39287077721,12451.0427942736,"MPA"
"1538","Scomberomorus","MT_20",2017,13626.8490459034,7108.32525583344,14091.9481292934,4877.24105375609,1696.85696197516,10261.9350721602,"MPA"
"1539","Scomberomorus","MT_20",2018,13498.6102912867,7119.9086213307,13122.279859044,4741.66308583142,1680.24726674702,8818.5235680852,"MPA"
"1540","Scomberomorus","MT_20",2019,13379.1634644534,7128.28510877034,12272.905473736,4640.59433646839,1667.27152862334,7787.91319573185,"MPA"
"1541","Scomberomorus","MT_20",2020,13266.5093682588,7131.43757936725,11532.9424587377,4563.32941739515,1656.99751850455,7006.42438562772,"MPA"
"1542","Scomberomorus","MT_20",2021,13164.5147298657,7129.62794071909,10903.5028020404,4502.9061292546,1648.72881914235,6386.04227993119,"MPA"
"1543","Scomberomorus","MT_20",2022,13075.6954241572,7124.14350816889,10370.5163743508,4454.82611533219,1641.95344963366,5878.39407751419,"MPA"
"1544","Scomberomorus","MT_20",2023,13000.3386952093,7116.42157935824,9916.51849748551,4416.13961518015,1636.30754127797,5454.76010387247,"MPA"
"1545","Scomberomorus","MT_20",2024,12937.3964385208,7107.64513561407,9526.22713929136,4384.81273015415,1631.53948516748,5095.9190167008,"MPA"
"1546","Scomberomorus","MT_20",2025,12885.2937946218,7098.64725479718,9187.4790167205,4359.35486448767,1627.47596248039,4788.11920349594,"MPA"
"1547","Scomberomorus","MT_20",2026,12842.3800552328,7089.95318225229,8890.82317296404,4338.62217715688,1623.99441326807,4521.21813676652,"MPA"
"1548","Scomberomorus","MT_20",2027,12807.1306231682,7081.85958229161,8628.91656232787,4321.71333864261,1621.00386531777,4287.57742030279,"MPA"
"1549","Scomberomorus","MT_20",2028,12778.217096641,7074.50849463641,8396.00598478211,4307.9082381952,1618.43304362872,4081.34259831092,"MPA"
"1550","Scomberomorus","MT_20",2029,12754.5159649826,7067.9439604804,8187.5337796639,4296.62738303815,1616.22352402151,3897.95553922852,"MPA"
"1551","Scomberomorus","MT_20",2030,12735.0919943161,7062.15150708798,7999.84778697012,4287.40251896044,1614.32592196258,3733.81628244645,"MPA"
"1552","Scomberomorus","MT_20",2031,12719.1733465244,7057.08421193836,7829.98900126754,4279.85426296803,1612.69775137942,3586.04458328718,"MPA"
"1553","Scomberomorus","MT_20",2032,12706.1259558959,7052.67925291881,7675.53523684818,4273.67462355288,1611.30215108492,3452.30877018406,"MPA"
"1554","Scomberomorus","MT_20",2033,12695.4301618546,7048.8680601241,7534.48484730882,4268.6131602184,1610.10704752988,3330.70105420858,"MPA"
"1555","Scomberomorus","MT_20",2034,12686.6605297282,7045.58230133523,7405.16925299924,4264.4659467349,1609.08453636629,3219.64528213563,"MPA"
"1556","Scomberomorus","MT_20",2035,12679.4688977325,7042.75721686107,7286.18636736916,4261.06673133114,1608.21037882481,3117.82776197575,"MPA"
"1557","Scomberomorus","MT_40",2016,16442.2396553122,8528.11817905499,18951.341392326,5949.03513922217,2021.58839524292,14832.5753937699,"MPA"
"1558","Scomberomorus","MT_40",2017,16310.4027699914,8558.69525928468,17548.5565731221,5759.05296461443,2002.50779216131,12440.5959820906,"MPA"
"1559","Scomberomorus","MT_40",2018,16203.2357166957,8588.31861888891,16466.9444210266,5621.04104430402,1988.08296080481,10843.1441698758,"MPA"
"1560","Scomberomorus","MT_40",2019,16096.1107407564,8611.36117587865,15502.7014058493,5518.24980922524,1977.03727307363,9693.75375461406,"MPA"
"1561","Scomberomorus","MT_40",2020,15989.1153911527,8626.00450603363,14653.0011711346,5439.75041869033,1968.45357400884,8817.31954935733,"MPA"
"1562","Scomberomorus","MT_40",2021,15888.8646709173,8633.00120528587,13925.7078568933,5378.38203812881,1961.64983204383,8118.37902086237,"MPA"
"1563","Scomberomorus","MT_40",2022,15799.8875579498,8634.21247268461,13307.6020155537,5329.53466565453,1956.13110899029,7544.33612279769,"MPA"
"1564","Scomberomorus","MT_40",2023,15723.6236880592,8631.59723171999,12779.8245139619,5290.21559998409,1951.55435137488,7063.94408471357,"MPA"
"1565","Scomberomorus","MT_40",2024,15659.5999731217,8626.75590015175,12325.3304965053,5258.37767198441,1947.69125639923,6656.16385874325,"MPA"
"1566","Scomberomorus","MT_40",2025,15606.4967497886,8620.83356021407,11930.3684768568,5232.52207640994,1944.39209342295,6305.83031839539,"MPA"
"1567","Scomberomorus","MT_40",2026,15562.7569202167,8614.58072507045,11584.1723287821,5211.49375499438,1941.55630883247,6001.686554871,"MPA"
"1568","Scomberomorus","MT_40",2027,15526.873108576,8608.45443982769,11278.3345328241,5194.37708682474,1939.11232069934,5735.21206838375,"MPA"
"1569","Scomberomorus","MT_40",2028,15497.5010272413,8602.71081818099,11006.2428276838,5180.43651391651,1937.00532623734,5499.84945805129,"MPA"
"1570","Scomberomorus","MT_40",2029,15473.4893717782,8597.47564714273,10762.6430361133,5169.07762570893,1935.19060047151,5290.47618650012,"MPA"
"1571","Scomberomorus","MT_40",2030,15453.8731685466,8592.79379588474,10543.3141870794,5159.81878436308,1933.63003170955,5103.03506012896,"MPA"
"1572","Scomberomorus","MT_40",2031,15437.8532396641,8588.66212946772,10344.8289987079,5152.26919114309,1932.29037753551,4934.27217851871,"MPA"
"1573","Scomberomorus","MT_40",2032,15424.7721688803,8585.05072903484,10164.3766692644,5146.11147174536,1931.14236417936,4781.54784250299,"MPA"
"1574","Scomberomorus","MT_40",2033,15414.0912115609,8581.91621881355,9999.63054159296,5141.08769734444,1930.16016938397,4642.6982542806,"MPA"
"1575","Scomberomorus","MT_40",2034,15405.3698074863,8579.20991761799,9848.64823227021,5136.98811544976,1929.32106624214,4515.93282876961,"MPA"
"1576","Scomberomorus","MT_40",2035,15398.2480965221,8576.88266240336,9709.79540928521,5133.64204920572,1928.60512923338,4399.75696797157,"MPA"
"1577","Scomberomorus","MT_60",2016,17933.1209014668,9261.85317096941,19801.5854784534,6710.60915837501,2292.09012276096,16320.0443869159,"MPA"
"1578","Scomberomorus","MT_60",2017,17668.9412896205,9241.72573596806,18084.414548403,6433.14645860751,2252.94370229508,13341.8789777525,"MPA"
"1579","Scomberomorus","MT_60",2018,17460.0883199166,9230.07261782994,16787.9010135393,6231.66113527389,2222.35288471056,11387.008223517,"MPA"
"1580","Scomberomorus","MT_60",2019,17271.6856488337,9218.7476952441,15657.631649609,6081.17755553198,2198.13144309466,9995.3679440114,"MPA"
"1581","Scomberomorus","MT_60",2020,17098.6344344905,9204.27943273889,14675.0965407097,5965.87187289636,2178.70865010721,8942.60708893294,"MPA"
"1582","Scomberomorus","MT_60",2021,16944.357055497,9186.35669489861,13840.4497774383,5875.50194015377,2162.91539684687,8108.48399701189,"MPA"
"1583","Scomberomorus","MT_60",2022,16811.0216698642,9166.12921523568,13134.517126669,5803.43927140705,2149.88722774563,7426.981506056,"MPA"
"1584","Scomberomorus","MT_60",2023,16698.2082047365,9145.03772788287,12533.8409679805,5745.31817818394,2138.99815640448,6858.98920114362,"MPA"
"1585","Scomberomorus","MT_60",2024,16603.9643931684,9124.27094382008,12017.9636573082,5698.1203037497,2129.80151798766,6378.40443351415,"MPA"
"1586","Scomberomorus","MT_60",2025,16525.7936710837,9104.62765152591,11570.6306623653,5659.6348575472,2121.97721777235,5966.59353811299,"MPA"
"1587","Scomberomorus","MT_60",2026,16461.2008471284,9086.55928746833,11179.2283563033,5628.16963929351,2115.28989863475,5609.83608344986,"MPA"
"1588","Scomberomorus","MT_60",2027,16407.9276274567,9070.26250971225,10833.9668954721,5602.39481724007,2109.55967951955,5297.81297884711,"MPA"
"1589","Scomberomorus","MT_60",2028,16364.0251733175,9055.76676294366,10527.1831287951,5581.24994754039,2104.64352096113,5022.62383957473,"MPA"
"1590","Scomberomorus","MT_60",2029,16327.852380648,9043.00107824568,10252.8112245272,5563.88233310868,2100.42395728802,4778.12339222321,"MPA"
"1591","Scomberomorus","MT_60",2030,16298.0449564602,9031.84007254269,10005.9939289826,5549.60273695264,2096.80235026294,4559.46207242825,"MPA"
"1592","Scomberomorus","MT_60",2031,16273.4762726394,9022.13367715214,9782.79831984155,5537.85199737101,2093.69473108506,4362.7625899584,"MPA"
"1593","Scomberomorus","MT_60",2032,16253.2190045407,9013.72540417129,9580.00677169065,5528.17518505881,2091.02907774086,4184.88807027187,"MPA"
"1594","Scomberomorus","MT_60",2033,16236.5109338153,9006.46298595887,9394.96162550013,5520.20130160633,2088.74338912252,4023.27331846275,"MPA"
